Date,Not indexed,Indexed,Impressions
2026-06-24,,,77
2026-06-25,,,69
2026-06-26,,,63
2026-06-27,,,73
2026-06-28,,,87
2026-06-29,37,31,67
2026-06-30,37,31,89
2026-07-01,37,31,64
2026-07-02,37,31,53
2026-07-03,37,31,65
2026-07-04,37,31,72
2026-07-05,37,31,75
2026-07-06,37,31,88
2026-07-07,37,31,67
2026-07-08,37,31,70
2026-07-09,37,31,59
2026-07-10,37,31,65
2026-07-11,37,31,104
2026-07-12,37,31,86
2026-07-13,37,31,96
2026-07-14,37,31,62
2026-07-15,37,31,79
2026-07-16,37,31,61
2026-07-17,37,31,68
2026-07-18,37,31,95
2026-07-19,37,31,91
2026-07-20,37,31,112
2026-07-21,37,31,72
2026-07-22,37,31,56
2026-07-23,37,31,68
2026-07-24,32,33,81
2026-07-25,32,33,65
2026-07-26,32,33,94
2026-07-27,32,33,65
2026-07-28,32,33,93
2026-07-29,32,33,88
2026-07-30,32,33,82
2026-07-31,32,33,81
2026-08-01,32,33,112
2026-08-02,32,33,106
2026-08-03,32,33,92
2026-08-04,32,33,86
2026-08-05,44,35,86
2026-08-06,44,35,78
2026-08-07,49,34,67
2026-08-08,49,34,98
2026-08-09,49,34,104
2026-08-10,47,34,93
2026-08-11,47,34,100
2026-08-12,47,34,103
2026-08-13,47,34,58
2026-08-14,46,34,80
2026-08-15,46,34,77
2026-08-16,46,34,80
2026-08-17,45,35,80
2026-08-18,45,35,87
2026-08-19,45,35,75
2026-08-20,45,35,86
2026-08-21,45,35,72
2026-08-22,45,35,72
2026-08-23,45,35,95
2026-08-24,45,35,92
2026-08-25,45,35,87
2026-08-26,45,35,78
2026-08-27,45,35,81
2026-08-28,39,35,104
2026-08-29,39,35,208
2026-08-30,39,35,104
2026-08-31,39,35,111
2026-09-01,39,35,105
2026-09-02,39,35,105
2026-09-03,39,35,90
2026-09-04,35,35,75
2026-09-05,35,35,98
2026-09-06,35,35,89
2026-09-07,35,35,78
2026-09-08,35,35,92
2026-09-09,35,35,79
2026-09-10,35,35,85
2026-09-11,35,35,104
2026-09-12,35,35,86
2026-09-13,35,35,87
2026-09-14,35,35,92
2026-09-15,35,35,81
2026-09-16,35,35,55
2026-09-17,35,35,50
2026-09-18,89,36,70
2026-09-19,89,36,68
2026-09-20,89,36,82
