Country,Clicks,Impressions,CTR,Position
Sri Lanka,355,3233,10.98%,9.79
Australia,98,398,24.62%,7.89
United Kingdom,77,646,11.92%,17.32
India,74,340,21.76%,7.74
Germany,73,222,32.88%,8.45
Italy,37,101,36.63%,3.75
France,32,108,29.63%,9.42
United States,31,611,5.07%,13.93
Netherlands,26,137,18.98%,7.34
Spain,21,77,27.27%,8.29
United Arab Emirates,20,88,22.73%,4.22
Canada,18,102,17.65%,8.75
Japan,17,83,20.48%,5.06
Belgium,17,58,29.31%,3.48
Malaysia,16,71,22.54%,7.45
Singapore,15,87,17.24%,5.45
New Zealand,14,67,20.9%,6.06
Portugal,14,40,35%,2.8
Czechia,12,36,33.33%,9.47
Sweden,10,25,40%,5.24
Austria,8,26,30.77%,3.42
Greece,6,20,30%,5.25
Thailand,5,46,10.87%,17.26
Hong Kong,5,37,13.51%,6.86
Switzerland,5,34,14.71%,5.38
Qatar,5,24,20.83%,7.38
Maldives,5,13,38.46%,4.77
Vietnam,4,77,5.19%,22.45
Pakistan,4,37,10.81%,11.86
Turkey,4,27,14.81%,18.11
Denmark,4,26,15.38%,7.04
Ireland,4,24,16.67%,7.83
Poland,4,22,18.18%,8.14
South Africa,4,18,22.22%,3.67
Indonesia,3,53,5.66%,17.64
Saudi Arabia,3,27,11.11%,11.37
Egypt,3,7,42.86%,4.29
Oman,3,6,50%,2.33
Israel,2,29,6.9%,10.07
Romania,2,10,20%,7.3
Cyprus,2,7,28.57%,3.57
Kenya,2,6,33.33%,3
Hungary,2,6,33.33%,5
Slovakia,2,4,50%,2.5
Philippines,1,38,2.63%,28.47
Norway,1,17,5.88%,7.18
Russia,1,17,5.88%,20
Taiwan,1,10,10%,5.7
Kuwait,1,10,10%,7.7
Slovenia,1,6,16.67%,4.67
Bahrain,1,6,16.67%,5.5
Latvia,1,5,20%,7.6
Chile,1,5,20%,9
Croatia,1,3,33.33%,6
Kazakhstan,1,2,50%,4.5
Armenia,1,2,50%,6.5
Iran,1,1,100%,1
Luxembourg,1,1,100%,1
Isle of Man,1,1,100%,3
Brazil,0,133,0%,14.68
Uzbekistan,0,38,0%,8.53
Bangladesh,0,29,0%,25.48
South Korea,0,19,0%,6.05
Mexico,0,19,0%,22.53
Finland,0,16,0%,7.19
Morocco,0,11,0%,22.82
Ukraine,0,10,0%,19.6
Nepal,0,9,0%,3.44
Jordan,0,9,0%,20
Algeria,0,8,0%,26
Mauritius,0,7,0%,5
China,0,7,0%,5.71
Bulgaria,0,6,0%,3.83
Tanzania,0,6,0%,8.17
Seychelles,0,6,0%,8.33
Colombia,0,6,0%,14.67
Lithuania,0,5,0%,4.4
Serbia,0,5,0%,6.4
Moldova,0,4,0%,6.5
Peru,0,4,0%,11.25
Panama,0,3,0%,4
Guatemala,0,3,0%,7.33
Albania,0,3,0%,8.33
Estonia,0,3,0%,8.33
Azerbaijan,0,3,0%,8.67
Tunisia,0,3,0%,14
Venezuela,0,3,0%,15
Malta,0,2,0%,4.5
Cambodia,0,2,0%,5.5
Argentina,0,2,0%,18
Ecuador,0,2,0%,21.5
Iraq,0,2,0%,31.5
Belarus,0,1,0%,1
Bhutan,0,1,0%,1
Central African Republic,0,1,0%,1
Kiribati,0,1,0%,1
Nigeria,0,1,0%,1
Laos,0,1,0%,2
Georgia,0,1,0%,3
Myanmar (Burma),0,1,0%,4
Montenegro,0,1,0%,4
Ghana,0,1,0%,7
Mongolia,0,1,0%,7
Bosnia & Herzegovina,0,1,0%,8
Guernsey,0,1,0%,8
Papua New Guinea,0,1,0%,10
El Salvador,0,1,0%,10
South Sudan,0,1,0%,10
Trinidad & Tobago,0,1,0%,10
Brunei,0,1,0%,11
Lebanon,0,1,0%,16
Uganda,0,1,0%,16
Honduras,0,1,0%,17
Jamaica,0,1,0%,28
Costa Rica,0,1,0%,30
