Top queries,Clicks,Impressions,CTR,Position
ceylon hop,422,590,71.53%,2.3
ceylon hop sri lanka,138,187,73.8%,1
ceylonhop,90,108,83.33%,1.01
shared taxi sri lanka,34,167,20.36%,2.63
share taxi sri lanka,8,278,2.88%,3.91
bus life lanka,6,40,15%,11
shared taxi,2,21,9.52%,2.29
sri lanka loop,1,38,2.63%,5.95
taxis ceylon,1,20,5%,14.75
ella to ahangama,1,4,25%,1
shared shuttle,1,2,50%,2
shared taxi?,1,2,50%,2
shared transport,1,2,50%,4
minibus,1,1,100%,1
乗り合い,1,1,100%,3
getting around colombo,0,115,0%,14.89
negombo to sigiriya,0,102,0%,33.89
getting around sri lanka,0,91,0%,16.87
tuk tuk sri lanka,0,58,0%,48.53
tuk tuk,0,55,0%,45.02
sri lanka bus,0,48,0%,28.52
bus,0,40,0%,55.55
sri lanka tuk tuk,0,39,0%,43.72
am yala,0,38,0%,9.18
bus stop sign sri lanka,0,31,0%,8.52
share taxi,0,29,0%,4.52
ceylon taxi,0,29,0%,20.9
loops sri lanka,0,28,0%,9.32
how to get around sri lanka,0,28,0%,21.68
tuk tuk service,0,20,0%,14.95
bus sri lanka,0,16,0%,29.94
sri lanka buses,0,14,0%,17.86
ahangama to mirissa,0,12,0%,30.08
sri lanka taxi share,0,11,0%,3.45
mirissa to ahangama,0,11,0%,23.55
lanka bus,0,11,0%,30.55
tuk tuk bus,0,10,0%,7.2
kandy to ella taxi,0,10,0%,7.7
tuk tuks sri lanka,0,10,0%,19.9
buses in sri lanka,0,9,0%,22
sri lanka map mirissa,0,8,0%,2.5
buses sri lanka,0,8,0%,26.5
taxi share,0,7,0%,5.86
shared taxi ella,0,7,0%,7.86
sri lankan buses,0,7,0%,21.14
tuk tuk road trip sri lanka,0,7,0%,59.57
ceylon taxi sri lanka,0,6,0%,13.83
negombo to sigiriya taxi,0,6,0%,24.83
weligama to mirissa,0,6,0%,32
tuktuk sri lanka,0,6,0%,50.83
sri lanka busse,0,6,0%,58.67
tuktuk,0,6,0%,59.17
srilankan bus,0,5,0%,12.2
how many tuk tuks in sri lanka,0,5,0%,16.8
bus lanka,0,5,0%,18.6
bus travel sri lanka,0,5,0%,21.6
srilanka bus,0,5,0%,25
tuk tuk in sri lanka,0,5,0%,40
weligama to colombo airport,0,5,0%,43
hop hop,0,4,0%,1.5
shared van,0,4,0%,4.75
loop travel,0,4,0%,8.75
